District,Year,Season,Crop,Temperature_Avg,Temperature_Min,Temperature_Max,Rainfall,Humidity,N,P,K,pH,Organic_Carbon,NDVI_Peak,Yield,Disease_Occurred
Bharuch,2010,Kharif,Jowar,27.65868493,10.67,46.83,1195.607887,62.21813699,68.23713636,50.16295455,29.71568182,6.323691342,0.74126283,0.727827627,1.29,0
Bharuch,2010,Kharif,Maize,27.65868493,10.67,46.83,1195.607887,62.21813699,68.23713636,50.16295455,29.71568182,6.323691342,0.74126283,0.727827627,1.65,0
Bharuch,2010,Kharif,Moong(Green Gram),27.65868493,10.67,46.83,1195.607887,62.21813699,31.21313636,105.9199545,146.7806818,6.118598929,0.607576982,0.727827627,0.47,0
Bharuch,2010,Kharif,Moth,27.65868493,10.67,46.83,1195.607887,62.21813699,31.62913636,49.88345455,30.00168182,6.704581177,0.61256938,0.727827627,0.6,0
Bharuch,2010,Kharif,Other Kharif pulses,27.65868493,10.67,46.83,1195.607887,62.21813699,31.21313636,105.9199545,146.7806818,6.118598929,0.607576982,0.727827627,0.56,0
Bharuch,2010,Kharif,Rice,27.65868493,10.67,46.83,1195.607887,62.21813699,69.62163636,49.60395455,42.76768182,6.440874122,0.748452236,0.727827627,1.68,0
Bharuch,2010,Kharif,Sesamum,27.65868493,10.67,46.83,1195.607887,62.21813699,31.21313636,105.9199545,146.7806818,6.118598929,0.607576982,0.727827627,0.26,0
Bharuch,2010,Kharif,Soyabean,27.65868493,10.67,46.83,1195.607887,62.21813699,31.21313636,105.9199545,146.7806818,6.118598929,0.607576982,0.727827627,0.83,0
Bharuch,2010,Kharif,Urad,27.65868493,10.67,46.83,1195.607887,62.21813699,43.70613636,62.53245455,29.35818182,6.901386582,0.650902772,0.727827627,0.77,0
Bharuch,2010,Kharif,other oilseeds,27.65868493,10.67,46.83,1195.607887,62.21813699,31.21313636,105.9199545,146.7806818,6.118598929,0.607576982,0.727827627,0.33,0
Bharuch,2010,Rabi,Gram,27.65868493,10.67,46.83,1195.607887,62.21813699,43.70613636,62.53245455,29.35818182,6.901386582,0.650902772,0.727827627,1.45,0
Bharuch,2010,Rabi,Jowar,27.65868493,10.67,46.83,1195.607887,62.21813699,68.23713636,50.16295455,29.71568182,6.323691342,0.74126283,0.727827627,1.01,0
Bharuch,2010,Rabi,Maize,27.65868493,10.67,46.83,1195.607887,62.21813699,68.23713636,50.16295455,29.71568182,6.323691342,0.74126283,0.727827627,1.85,0
Bharuch,2010,Rabi,Other  Rabi pulses,27.65868493,10.67,46.83,1195.607887,62.21813699,31.21313636,105.9199545,146.7806818,6.118598929,0.607576982,0.727827627,0.7,0
Bharuch,2010,Rabi,Wheat,27.65868493,10.67,46.83,1195.607887,62.21813699,31.21313636,105.9199545,146.7806818,6.118598929,0.607576982,0.727827627,2.01,0
Bharuch,2010,Summer,Bajra,27.65868493,10.67,46.83,1195.607887,62.21813699,31.62913636,49.88345455,30.00168182,6.704581177,0.61256938,0.727827627,2.47,0
Bharuch,2010,Summer,Groundnut,27.65868493,10.67,46.83,1195.607887,62.21813699,31.21313636,105.9199545,146.7806818,6.118598929,0.607576982,0.727827627,1.8,0
Bharuch,2010,Summer,Maize,27.65868493,10.67,46.83,1195.607887,62.21813699,68.23713636,50.16295455,29.71568182,6.323691342,0.74126283,0.727827627,2,0
Bharuch,2010,Summer,Moong(Green Gram),27.65868493,10.67,46.83,1195.607887,62.21813699,31.21313636,105.9199545,146.7806818,6.118598929,0.607576982,0.727827627,0.55,0
Bharuch,2010,Summer,Rice,27.65868493,10.67,46.83,1195.607887,62.21813699,69.62163636,49.60395455,42.76768182,6.440874122,0.748452236,0.727827627,3.06,0
Bharuch,2010,Summer,Sesamum,27.65868493,10.67,46.83,1195.607887,62.21813699,31.21313636,105.9199545,146.7806818,6.118598929,0.607576982,0.727827627,1,0
Bharuch,2010,Whole Year,Banana,27.65868493,10.67,46.83,1195.607887,62.21813699,82.84263636,71.98345455,49.38468182,6.15384859,0.788985225,0.727827627,63.56,0
Bharuch,2010,Whole Year,Sugarcane,27.65868493,10.67,46.83,1195.607887,62.21813699,31.21313636,105.9199545,146.7806818,6.118598929,0.607576982,0.727827627,72.79,0
Bhavnagar,2010,Kharif,Arhar/Tur,27.74556164,7.43,47.56,900.5375195,55.88616438,31.16763636,62.70145455,30.04068182,6.030531695,0.550846762,0.633909024,1,0
Bhavnagar,2010,Kharif,Bajra,27.74556164,7.43,47.56,900.5375195,55.88616438,31.62913636,49.88345455,30.00168182,6.704581177,0.557759754,0.633909024,2.51,0
Bhavnagar,2010,Kharif,Castor seed,27.74556164,7.43,47.56,900.5375195,55.88616438,31.21313636,105.9199545,146.7806818,6.118598929,0.552767356,0.633909024,2,0
Bhavnagar,2010,Kharif,Cotton(lint),27.74556164,7.43,47.56,900.5375195,55.88616438,94.24363636,48.73295455,29.56618182,6.757557095,0.775850986,0.633909024,4.73,0
Bhavnagar,2010,Kharif,Groundnut,27.74556164,7.43,47.56,900.5375195,55.88616438,31.21313636,105.9199545,146.7806818,6.118598929,0.552767356,0.633909024,2.08,0
Bhavnagar,2010,Kharif,Maize,27.74556164,7.43,47.56,900.5375195,55.88616438,68.23713636,50.16295455,29.71568182,6.323691342,0.686453205,0.633909024,1.63,0
Bhavnagar,2010,Kharif,Moong(Green Gram),27.74556164,7.43,47.56,900.5375195,55.88616438,31.21313636,105.9199545,146.7806818,6.118598929,0.552767356,0.633909024,0.47,0
Bhavnagar,2010,Kharif,Moth,27.74556164,7.43,47.56,900.5375195,55.88616438,31.62913636,49.88345455,30.00168182,6.704581177,0.557759754,0.633909024,0.6,0
Bhavnagar,2010,Kharif,Other Kharif pulses,27.74556164,7.43,47.56,900.5375195,55.88616438,31.21313636,105.9199545,146.7806818,6.118598929,0.552767356,0.633909024,0.55,0
Bhavnagar,2010,Kharif,Sesamum,27.74556164,7.43,47.56,900.5375195,55.88616438,31.21313636,105.9199545,146.7806818,6.118598929,0.552767356,0.633909024,0.67,0
Bhavnagar,2010,Kharif,Urad,27.74556164,7.43,47.56,900.5375195,55.88616438,43.70613636,62.53245455,29.35818182,6.901386582,0.596093146,0.633909024,0.58,0
Bhavnagar,2010,Kharif,other oilseeds,27.74556164,7.43,47.56,900.5375195,55.88616438,31.21313636,105.9199545,146.7806818,6.118598929,0.552767356,0.633909024,0.5,0
Bhavnagar,2010,Rabi,Gram,27.74556164,7.43,47.56,900.5375195,55.88616438,43.70613636,62.53245455,29.35818182,6.901386582,0.596093146,0.633909024,1.38,0
Bhavnagar,2010,Rabi,Jowar,27.74556164,7.43,47.56,900.5375195,55.88616438,68.23713636,50.16295455,29.71568182,6.323691342,0.686453205,0.633909024,1.08,0
Bhavnagar,2010,Rabi,Rapeseed &Mustard,27.74556164,7.43,47.56,900.5375195,55.88616438,31.21313636,105.9199545,146.7806818,6.118598929,0.552767356,0.633909024,2,0
Bhavnagar,2010,Rabi,Wheat,27.74556164,7.43,47.56,900.5375195,55.88616438,31.21313636,105.9199545,146.7806818,6.118598929,0.552767356,0.633909024,2.93,0
